"listed_in_type","listed_in_city","online_order","book_table",".cluster","count_ofrestaurants","rate","votes","approx_cost_for_two_people","num_of_dish_liked","num_of_cuisines"
"Dine-out","Old Airport Road","No","Yes",3,1,4.9,246,1000,7,3
"Desserts","Frazer Town","Yes","No",7,1,4.8,392,400,7,1
"Buffet","Jayanagar","No","Yes",4,1,4.6,538,1100,7,5
"Delivery","Sarjapur Road","No","Yes",7,1,4.6,142,1500,7,4
"Desserts","Whitefield","No","No",7,1,4.6,1822,400,7,1
"Desserts","Indiranagar","No","No",7,3,4.53333333333333,1184,350,7,2
"Buffet","Electronic City","Yes","Yes",4,1,4.5,860,600,7,3
"Desserts","Koramangala 7th Block","No","No",7,1,4.5,1547,400,7,2
"Desserts","New BEL Road","No","No",7,1,4.5,703,400,7,2
"Dine-out","Jayanagar","No","Yes",7,1,4.5,800,1500,7,1
"Dine-out","Marathahalli","No","Yes",2,1,4.5,443,900,7,2
"Buffet","Kalyan Nagar","No","Yes",4,3,4.4,1244.33333333333,1466.66666666667,7,3.66666666666667
"Cafes","BTM","No","Yes",4,3,4.4,824.333333333333,833.333333333333,7,5
"Cafes","Lavelle Road","Yes","Yes",4,1,4.4,721,1700,7,3
"Delivery","Church Street","No","Yes",7,1,4.4,2266,1100,7,3
"Desserts","Koramangala 4th Block","No","No",7,1,4.4,491,500,7,2
"Dine-out","Brookefield","No","Yes",7,1,4.4,1700,1200,7,4
"Dine-out","JP Nagar","No","Yes",7,1,4.4,2075,1200,7,5
"Dine-out","Koramangala 6th Block","Yes","No",7,1,4.4,950,900,7,3
"Dine-out","Old Airport Road","Yes","Yes",3,1,4.4,266,1700,7,6
"Cafes","Basavanagudi","Yes","Yes",4,3,4.36666666666667,1636,733.333333333333,7,3.33333333333333
"Desserts","Kalyan Nagar","No","No",7,3,4.36666666666667,338,433.333333333333,6.33333333333333,2
"Dine-out","Malleshwaram","No","Yes",7,3,4.36666666666667,930,1383.33333333333,7,3.66666666666667
"Buffet","Electronic City","No","Yes",4,4,4.35,723.5,1425,7,5.25
"Delivery","Koramangala 5th Block","Yes","No",7,2,4.35,219.5,550,5.5,2
"Desserts","Koramangala 4th Block","Yes","No",7,2,4.35,514,400,7,3
"Dine-out","Brigade Road","Yes","No",7,2,4.35,2133.5,675,7,4
"Dine-out","Brookefield","No","No",7,2,4.35,768,1575,7,2.5
"Dine-out","Marathahalli","No","Yes",7,4,4.35,755.75,1225,7,2.75
"Dine-out","HSR","No","Yes",6,5,4.34,723,1110,7,3.8
"Desserts","Basavanagudi","No","No",7,5,4.32,451.4,270,6.6,1.8
"Dine-out","Whitefield","No","Yes",7,5,4.32,1439,1520,7,2.6
"Delivery","Lavelle Road","Yes","Yes",7,2,4.3,448.5,1200,7,3.5
"Buffet","BTM","Yes","Yes",4,7,4.3,907.857142857143,1200,7,3.28571428571429
"Cafes","Malleshwaram","No","Yes",4,1,4.3,476,1000,7,3
"Delivery","Jayanagar","No","Yes",7,1,4.3,1079,800,7,4
"Delivery","Kammanahalli","Yes","Yes",1,1,4.3,53,600,1,4
"Delivery","Koramangala 6th Block","Yes","No",7,1,4.3,1105,700,7,4
"Delivery","Sarjapur Road","Yes","Yes",7,1,4.3,1499,1300,7,6
"Desserts","Bellandur","No","No",7,1,4.3,384,150,7,2
"Dine-out","Basavanagudi","No","Yes",7,2,4.3,1157.5,1000,7,3.5
"Dine-out","Frazer Town","No","Yes",2,1,4.3,267,700,7,2
"Dine-out","HSR","Yes","Yes",6,1,4.3,797,1500,7,3
"Dine-out","Koramangala 4th Block","No","Yes",7,1,4.3,1550,1200,7,2
"Dine-out","Malleshwaram","Yes","Yes",7,1,4.3,1033,850,7,3
"Dine-out","New BEL Road","No","No",7,1,4.3,969,1400,7,3
"Dine-out","Whitefield","Yes","Yes",7,1,4.3,654,1500,7,4
"Desserts","Malleshwaram","No","No",7,5,4.28,360,520,5.4,2
"Dine-out","Bannerghatta Road","No","Yes",7,3,4.26666666666667,1090,1366.66666666667,7,3
"Dine-out","Brigade Road","No","No",7,6,4.26666666666667,1020.33333333333,1333.33333333333,7,2.83333333333333
"Dine-out","Indiranagar","No","No",7,5,4.26,1498.4,980,7,2.4
"Dine-out","BTM","No","Yes",7,12,4.25833333333333,1121.83333333333,1191.66666666667,7,3.83333333333333
"Dine-out","Brigade Road","No","Yes",7,16,4.25625,859.875,1375,7,3.3125
"Cafes","Brigade Road","Yes","Yes",4,4,4.25,634.25,1062.5,5.5,3.5
"Cafes","Whitefield","Yes","Yes",4,2,4.25,1489,750,7,3.5
"Delivery","Church Street","Yes","Yes",7,2,4.25,1269,825,7,3.5
"Delivery","Koramangala 4th Block","No","Yes",7,2,4.25,950.5,1100,7,3
"Buffet","Brookefield","Yes","Yes",4,5,4.24,899.4,950,7,3
"Buffet","Malleshwaram","No","Yes",4,8,4.2375,668.5,1143.75,7,2.375
"Delivery","Indiranagar","Yes","Yes",7,7,4.22857142857143,1718.71428571429,1071.42857142857,7,2.85714285714286
"Buffet","Bellandur","No","Yes",4,4,4.225,395.75,1525,7,3.75
"Buffet","Kalyan Nagar","Yes","Yes",4,5,4.22,570.4,930,7,4
"Buffet","Electronic City","Yes","No",4,1,4.2,882,1100,7,4
"Buffet","Malleshwaram","Yes","Yes",4,4,4.2,665,1175,5.25,3
"Cafes","Banashankari","Yes","Yes",4,2,4.2,157,550,7,3.5
"Cafes","Basavanagudi","No","Yes",4,3,4.2,488.666666666667,800,5.66666666666667,5.66666666666667
"Cafes","Brookefield","No","Yes",4,1,4.2,65,400,5,3
"Cafes","BTM","Yes","Yes",4,7,4.2,990.714285714286,835.714285714286,7,3.57142857142857
"Cafes","Koramangala 4th Block","No","Yes",4,1,4.2,815,800,7,4
"Delivery","Frazer Town","Yes","Yes",7,5,4.2,906.8,1110,7,4.4
"Delivery","Malleshwaram","No","Yes",7,1,4.2,174,1200,7,1
"Desserts","Banashankari","No","No",7,2,4.2,227,275,7,2.5
"Desserts","Basavanagudi","Yes","No",7,1,4.2,228,500,7,2
"Desserts","Bellandur","Yes","No",7,1,4.2,213,400,7,4
"Desserts","Frazer Town","No","No",7,3,4.2,277.333333333333,266.666666666667,7,2
"Desserts","Koramangala 5th Block","Yes","No",7,1,4.2,348,300,7,1
"Dine-out","Bellandur","No","Yes",7,1,4.2,707,1400,7,2
"Dine-out","Brookefield","No","Yes",2,1,4.2,103,1300,7,1
"Dine-out","BTM","No","No",7,2,4.2,733,1300,7,2
"Dine-out","Church Street","No","Yes",7,1,4.2,1428,1300,7,4
"Dine-out","Indiranagar","Yes","No",7,1,4.2,315,500,7,7
"Drinks & nightlife","Brigade Road","No","No",7,1,4.2,2020,1200,7,4
"Desserts","Old Airport Road","Yes","No",3,2,4.2,64,450,1.5,2
"Buffet","Brigade Road","Yes","Yes",4,8,4.1875,762.375,1412.5,6.875,2.25
"Delivery","BTM","No","Yes",7,6,4.18333333333333,755,1025,7,2.66666666666667
"Desserts","BTM","Yes","No",7,4,4.175,305.75,387.5,6.5,2.5
"Delivery","Brigade Road","Yes","Yes",7,31,4.15806451612903,753.161290322581,1127.41935483871,6.80645161290323,3.51612903225806
"Buffet","Bellandur","Yes","No",4,2,4.15,599,850,7,1.5
"Buffet","Indiranagar","No","Yes",4,4,4.15,726.5,1100,7,2
"Delivery","Bellandur","No","Yes",7,2,4.15,852,1250,7,2.5
"Desserts","Jayanagar","No","No",7,2,4.15,223,325,7,1
"Desserts","Malleshwaram","Yes","No",7,2,4.15,144.5,325,5.5,3
"Dine-out","Jayanagar","No","No",7,2,4.15,723.5,1500,7,3
"Dine-out","Koramangala 4th Block","No","Yes",2,4,4.15,253,1150,5.25,3.25
"Buffet","BTM","No","Yes",4,9,4.14444444444444,859.444444444444,1155.55555555556,6.33333333333333,3.22222222222222
"Delivery","Basavanagudi","Yes","Yes",7,14,4.14285714285714,760.285714285714,1000,6.85714285714286,3.28571428571429
"Delivery","Whitefield","Yes","Yes",7,12,4.14166666666667,885,1183.33333333333,6.58333333333333,3.33333333333333
"Cafes","Kalyan Nagar","Yes","Yes",4,5,4.14,448.4,830,7,3.2
"Desserts","Brigade Road","No","No",7,5,4.14,227.8,510,6.2,2.2
"Dine-out","Malleshwaram","No","No",7,5,4.14,798,1300,7,3
"Buffet","Indiranagar","Yes","Yes",4,12,4.125,837.833333333333,1270.83333333333,6.58333333333333,2.75
"Delivery","Bannerghatta Road","No","Yes",7,4,4.125,966.25,975,7,2.75
"Delivery","Kalyan Nagar","Yes","Yes",7,16,4.125,542.25,1025,6.875,3.9375
"Delivery","Malleshwaram","Yes","Yes",7,16,4.10625,563.125,968.75,7,2.75
"Buffet","Banashankari","Yes","Yes",4,1,4.1,775,800,7,3
"Buffet","Bellandur","Yes","Yes",4,7,4.1,993.285714285714,1371.42857142857,6,3
"Buffet","Kalyan Nagar","No","No",4,1,4.1,111,1400,5,1
"Buffet","New BEL Road","No","Yes",4,2,4.1,908.5,1250,7,3
"Cafes","Electronic City","Yes","No",4,1,4.1,351,700,7,5
"Cafes","HSR","Yes","Yes",6,2,4.1,470.5,650,6.5,5
"Cafes","Jayanagar","No","Yes",4,1,4.1,1445,800,7,4
"Delivery","Frazer Town","No","No",7,5,4.1,318.2,730,6.4,2.2
"Delivery","Koramangala 7th Block","Yes","No",7,1,4.1,115,700,7,6
"Delivery","Sarjapur Road","No","No",7,1,4.1,317,600,7,3
"Desserts","Bannerghatta Road","Yes","No",7,1,4.1,41,500,7,2
"Desserts","Brigade Road","Yes","No",7,2,4.1,56,700,5.5,1.5
"Desserts","Brookefield","No","No",7,1,4.1,395,1000,7,3
"Dine-out","Bellandur","No","Yes",2,1,4.1,106,1600,7,3
"Dine-out","Brigade Road","No","Yes",2,7,4.1,199,1257.14285714286,4.42857142857143,2.42857142857143
"Dine-out","Brookefield","Yes","No",7,1,4.1,2143,800,7,1
"Dine-out","Kalyan Nagar","No","Yes",7,2,4.1,1325.5,1150,7,4
"Delivery","BTM","Yes","Yes",7,49,4.09387755102041,754.061224489796,958.163265306122,6.83673469387755,3.14285714285714
"Delivery","Bellandur","Yes","Yes",7,23,4.09130434782609,656.913043478261,997.826086956522,6.8695652173913,3.43478260869565
"Delivery","Koramangala 4th Block","Yes","No",7,8,4.0875,369.625,500,6.125,2.25
"Desserts","BTM","No","No",7,6,4.08333333333333,255.333333333333,375,6.66666666666667,1.83333333333333
"Delivery","Brigade Road","No","No",7,21,4.07619047619048,551.333333333333,595.238095238095,6.28571428571429,2.42857142857143
"Delivery","Jayanagar","No","No",7,4,4.075,585.75,362.5,6.25,2
"Cafes","Church Street","No","No",4,3,4.06666666666667,319.333333333333,966.666666666667,5.66666666666667,2.66666666666667
"Cafes","Indiranagar","Yes","Yes",4,6,4.06666666666667,662.833333333333,825,6,4.83333333333333
"Delivery","Whitefield","No","Yes",7,3,4.06666666666667,983.333333333333,1433.33333333333,6,1.66666666666667
"Dine-out","Indiranagar","No","Yes",7,12,4.06666666666667,1076.66666666667,1400,7,3.33333333333333
"Dine-out","BTM","Yes","No",7,5,4.06,1227,680,7,3.4
"Delivery","Brigade Road","No","Yes",7,7,4.05714285714286,554.428571428571,1035.71428571429,6.28571428571429,3.14285714285714
"Buffet","Malleshwaram","No","No",4,2,4.05,1104,900,5,2.5
"Cafes","MG Road","Yes","No",4,2,4.05,423.5,650,7,5.5
"Delivery","Kammanahalli","Yes","No",7,2,4.05,387,300,7,2
"Delivery","Koramangala 4th Block","No","No",7,11,4.04545454545454,409.090909090909,436.363636363636,6.09090909090909,3.18181818181818
"Delivery","Indiranagar","No","Yes",7,8,4.0375,723.375,1043.75,7,2.25
"Delivery","Banashankari","Yes","Yes",7,19,4.03684210526316,782.368421052632,986.842105263158,6.84210526315789,3.63157894736842
"Buffet","Rajajinagar","No","Yes",4,3,4.03333333333333,672,1200,5.33333333333333,3.66666666666667
"Delivery","Lavelle Road","Yes","No",7,10,4.03,334.6,480,6.8,3.3
"Buffet","Bannerghatta Road","Yes","Yes",4,4,4.025,1151.25,1000,7,4.75
"Delivery","Kalyan Nagar","No","Yes",7,4,4.025,504.5,912.5,6.25,3
"Dine-out","Kalyan Nagar","No","Yes",2,4,4.025,249,1300,6,2.5
"Delivery","Whitefield","No","No",7,6,4.01666666666667,184.333333333333,733.333333333333,6.66666666666667,2.5
"Delivery","Brigade Road","Yes","No",7,122,4.01311475409836,384.344262295082,601.065573770492,6.27049180327869,2.83606557377049
"Delivery","BTM","No","No",7,24,4.0125,401.958333333333,518.75,6.25,2.54166666666667
"Delivery","Brookefield","Yes","Yes",7,28,4.00714285714286,811.75,989.285714285714,7,3.21428571428571
"Delivery","Bannerghatta Road","Yes","Yes",7,27,4.0037037037037,842.222222222222,970.37037037037,6.88888888888889,3.55555555555556
"Buffet","Bannerghatta Road","No","Yes",4,3,4,482.666666666667,900,5,3.33333333333333
"Buffet","Brigade Road","No","Yes",4,9,4,283,1266.66666666667,5.11111111111111,3.44444444444444
"Cafes","Bellandur","Yes","Yes",4,1,4,341,1000,7,4
"Cafes","Brookefield","Yes","Yes",4,4,4,423.5,850,7,4.75
"Cafes","Indiranagar","No","Yes",4,2,4,1002,1225,7,3.5
"Cafes","Lavelle Road","No","No",4,1,4,31,800,1,1
"Cafes","Sarjapur Road","No","No",4,1,4,19,700,1,4
"Delivery","Banashankari","No","Yes",7,1,4,808,850,7,2
"Delivery","Church Street","Yes","No",7,7,4,544,571.428571428571,6.71428571428571,3
"Delivery","Frazer Town","No","Yes",7,1,4,608,1100,7,2
"Delivery","Jayanagar","Yes","No",7,8,4,356.25,550,6.5,1.75
"Delivery","Marathahalli","No","Yes",7,2,4,756,1100,4.5,4
"Delivery","New BEL Road","No","No",7,6,4,411.166666666667,633.333333333333,6,2.83333333333333
"Delivery","Rajajinagar","No","No",7,2,4,554,775,7,3
"Desserts","Bannerghatta Road","No","No",7,1,4,319,500,7,2
"Desserts","Brookefield","Yes","No",7,1,4,544,450,7,1
"Desserts","Indiranagar","Yes","No",7,1,4,48,500,7,2
"Desserts","Jayanagar","Yes","No",1,1,4,129,300,5,1
"Desserts","Marathahalli","Yes","No",7,1,4,55,500,7,2
"Desserts","Whitefield","Yes","No",7,1,4,422,1500,7,3
"Dine-out","BTM","Yes","Yes",2,1,4,792,900,7,1
"Dine-out","BTM","Yes","Yes",7,1,4,1382,1100,7,6
"Dine-out","Indiranagar","Yes","Yes",7,1,4,1413,1500,7,5
"Dine-out","Kalyan Nagar","Yes","Yes",7,1,4,702,800,7,4
"Dine-out","Koramangala 4th Block","Yes","Yes",2,1,4,859,850,7,2
"Dine-out","Koramangala 7th Block","No","Yes",2,1,4,137,1000,1,3
"Dine-out","Malleshwaram","No","Yes",2,3,4,221.666666666667,1333.33333333333,2.33333333333333,2
"Dine-out","Residency Road","Yes","No",2,1,4,67,300,7,4
"Dine-out","Whitefield","No","Yes",2,5,4,202.2,1600,4,2
"Delivery","Banashankari","No","No",7,8,3.9875,468.25,543.75,6.375,3.625
"Cafes","BTM","Yes","No",4,22,3.98181818181818,251.181818181818,654.545454545455,4.18181818181818,2.81818181818182
"Delivery","Frazer Town","Yes","No",7,27,3.98148148148148,471.555555555556,607.407407407407,6.81481481481481,3.11111111111111
"Dine-out","Electronic City","No","Yes",5,5,3.98,252,1380,4.8,3.4
"Delivery","Basavanagudi","Yes","No",7,38,3.97894736842105,277.052631578947,472.368421052632,6.36842105263158,2.63157894736842
"Delivery","New BEL Road","Yes","No",7,14,3.97857142857143,385.428571428571,567.857142857143,6.57142857142857,2.85714285714286
"Buffet","Brigade Road","Yes","No",4,4,3.975,123.5,1375,5.5,2.5
"Pubs and bars","Brigade Road","Yes","No",7,4,3.975,165.5,512.5,6,3
